imdb,rating,title,imdb,runtime,year,genres,director
tt0081398,4,Raging Bull,https://www.imdb.com/title/tt0081398/,129,1980,"Biography, Drama, Sport",Martin Scorsese
tt1013753,4,Milk,https://www.imdb.com/title/tt1013753/,128,2008,"Biography, Drama",Gus Van Sant
tt0365737,4,Syriana,https://www.imdb.com/title/tt0365737/,128,2005,"Drama, Thriller",Stephen Gaghan
tt0097165,4,Dead Poets Society,https://www.imdb.com/title/tt0097165/,128,1989,"Comedy, Drama",Peter Weir
tt0109707,4,Ed Wood,https://www.imdb.com/title/tt0109707/,127,1994,"Biography, Comedy, Drama",Tim Burton
tt0114369,4,Se7en,https://www.imdb.com/title/tt0114369/,127,1995,"Crime, Drama, Mystery, Thriller",David Fincher
tt0486655,4,Stardust,https://www.imdb.com/title/tt0486655/,127,2007,"Adventure, Family, Fantasy, Romance",Matthew Vaughn
tt2582846,5,The Fault in Our Stars,https://www.imdb.com/title/tt2582846/,126,2014,"Drama, Romance",Josh Boone
tt0119217,4,Good Will Hunting,https://www.imdb.com/title/tt0119217/,126,1997,"Drama, Romance",Gus Van Sant
tt0477348,4,No Country for Old Men,https://www.imdb.com/title/tt0477348/,122,2007,"Crime, Drama, Thriller","Joel Coen, Ethan Coen"
tt7286456,4,Joker,https://www.imdb.com/title/tt7286456/,122,2019,"Crime, Drama, Thriller",Todd Phillips
tt0395169,5,Hotel Rwanda,https://www.imdb.com/title/tt0395169/,121,2004,"Biography, Drama, History, War",Terry George
tt0076759,5,Star Wars,https://www.imdb.com/title/tt0076759/,121,1977,"Action, Adventure, Fantasy, Sci-Fi",George Lucas
tt1675192,4,Take Shelter,https://www.imdb.com/title/tt1675192/,121,2011,"Drama, Horror, Thriller",Jeff Nichols
tt3464902,4,The Lobster,https://www.imdb.com/title/tt3464902/,119,2015,"Comedy, Drama, Romance, Sci-Fi, Thriller",Yorgos Lanthimos
tt0379786,4,Serenity,https://www.imdb.com/title/tt0379786/,119,2005,"Action, Adventure, Sci-Fi, Thriller",Joss Whedon
tt0465538,4,Michael Clayton,https://www.imdb.com/title/tt0465538/,119,2007,"Crime, Drama, Mystery, Thriller",Tony Gilroy
tt5083738,4,The Favourite,https://www.imdb.com/title/tt5083738/,119,2018,"Biography, Comedy, Drama, History",Yorgos Lanthimos
tt0102926,5,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,118,1991,"Crime, Drama, Thriller",Jonathan Demme
tt0317705,4,The Incredibles,https://www.imdb.com/title/tt0317705/,115,2004,"Animation, Action, Adventure, Family",Brad Bird
tt1139797,4,Let den ratte komma in,https://www.imdb.com/title/tt1139797/,114,2008,"Crime, Drama, Fantasy, Horror, Romance",Tomas Alfredson
tt4975722,5,Moonlight,https://www.imdb.com/title/tt4975722/,111,2016,Drama,Barry Jenkins
tt0335266,4,Lost in Translation,https://www.imdb.com/title/tt0335266/,102,2003,"Comedy, Drama",Sofia Coppola
tt0112471,4,Before Sunrise,https://www.imdb.com/title/tt0112471/,101,1995,"Drama, Romance",Richard Linklater
tt1723811,4,Shame,https://www.imdb.com/title/tt1723811/,101,2011,Drama,Steve McQueen
tt1924429,4,Trance,https://www.imdb.com/title/tt1924429/,101,2013,"Crime, Drama, Mystery, Thriller",Danny Boyle
tt0449059,4,Little Miss Sunshine,https://www.imdb.com/title/tt0449059/,101,2006,"Comedy, Drama","Jonathan Dayton, Valerie Faris"
tt4698684,4,Hunt for the Wilderpeople,https://www.imdb.com/title/tt4698684/,101,2016,"Adventure, Comedy, Drama",Taika Waititi
tt0096257,4,The Thin Blue Line,https://www.imdb.com/title/tt0096257/,101,1988,"Documentary, Crime",Errol Morris
tt3235888,4,It Follows,https://www.imdb.com/title/tt3235888/,100,2014,"Horror, Mystery, Thriller",David Robert Mitchell
tt6418778,4,Fast Color,https://www.imdb.com/title/tt6418778/,100,2018,"Drama, Sci-Fi, Thriller",Julia Hart
tt0780504,4,Drive,https://www.imdb.com/title/tt0780504/,100,2011,"Crime, Drama",Nicolas Winding Refn
tt8637428,4,The Farewell,https://www.imdb.com/title/tt8637428/,100,2019,"Comedy, Drama",Lulu Wang
tt0105236,4,Reservoir Dogs,https://www.imdb.com/title/tt0105236/,99,1992,"Crime, Drama, Thriller",Quentin Tarantino
tt1315981,4,A Single Man,https://www.imdb.com/title/tt1315981/,99,2009,"Drama, Romance",Tom Ford
tt2278388,4,The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/,99,2014,"Adventure, Comedy, Crime",Wes Anderson
tt4978710,4,Marjorie Prime,https://www.imdb.com/title/tt4978710/,99,2017,"Drama, Romance, Sci-Fi",Michael Almereyda
